PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT (2020),BIN,BBL,NTA (2020)
1FG0,K104,Asbestos  abatement,P.S. 104 - BROOKLYN,9115 5TH AVENUE,209076,03/31/2023,BROOKLYN,11209,40.618415,-74.028842,310,47,160,3154775,3060880001,BK1001
1FG1,Q048,Asbestos  abatement,Q075 SPED - QUEENS,155-02 108 AVENUE,32957,03/31/2023,QUEENS,11433,40.694119,-73.797003,412,28,25401,4216099,4101440042,QN1202
1FG2,M118,Asbestos  abatement,P.S. 333 - MANHATTAN,154 WEST 93 STREET,23548,03/31/2023,MANHATTAN,10025,40.791709,-73.970802,107,7,177,1032522,1012230005,MN0702
1FG3,X843,Asbestos  abatement,P.S. 246 - BRONX,2641 GRAND CONCOURSE,43270,03/31/2023,BRONX,10468,40.865593,-73.894758,207,14,401,2013830,2031680027,BX0701
1FG4,Q595,Asbestos  abatement,QUEENS SATELLITE HS FOR OPPORT,162-02 HILLSIDE AVENUE,32254,03/31/2023,QUEENS,11432,40.70848,-73.800065,412,24,44602,4209031,4097680022,QN1201
1FG5,K127,Asbestos  abatement,P.S. 127 - BROOKLYN,922 78TH STREET,40766,03/31/2023,BROOKLYN,11228,40.623762,-74.017799,310,38,206,3150481,3059730001,BK1002
1FG6,Q084,Asbestos  abatement,P.S. 84 - QUEENS,22-45 41 STREET,38712,03/31/2023,QUEENS,11105,40.771512,-73.90633,401,22,119,4015334,4007940017,QN0101
1FG7,Q593,Asbestos  abatement,P.S. 47 - QUEENS,140 BEACH 112 STREET,20587,03/31/2023,QUEENS,11694,40.57978,-73.833131,414,32,938,4303856,4161840001,QN1403
1FG8,R023,Asbestos  abatement,P.S. 23 - STATEN ISLAND,30 NATICK STREET,197874,03/31/2023,STATEN IS,10306,40.571187,-74.132634,503,50,138,5059927,5043730001,SI0301
1FG9,K480,Asbestos  abatement,THE BROOKLYN SCHOOL FOR SOCIAL,400 IRVING AVENUE,211166,03/31/2023,BROOKLYN,11237,40.697185,-73.91117,304,37,435,3076908,3033650098,BK0402
1FGA,K048,Asbestos  abatement,P.S. 48 - BROOKLYN,6015 18 AVENUE,134425,03/31/2023,BROOKLYN,11204,40.621871,-73.987396,312,44,244,3132140,3055190001,BK1204
1FGB,K620,Asbestos  abatement,WILLIAM E. GRADY VOC HS - K,25 BRIGHTON 4 ROAD,22637,03/31/2023,BROOKLYN,11235,40.582585,-73.963477,313,48,366,3196378,3072610201,BK1303
1FGC,K219,Asbestos  abatement,P.S. 219 - BROOKLYN,1060 CLARKSON AVENUE,68886,03/31/2023,BROOKLYN,11212,40.659288,-73.922919,317,41,886,3101168,3046480001,BK1704
1FGD,K127,Asbestos  abatement,P.S. 127 - BROOKLYN,922 78TH STREET,44372,03/31/2023,BROOKLYN,11228,40.623762,-74.017799,310,38,206,3150481,3059730001,BK1002
1FGE,Q405,Asbestos  abatement,BAYSIDE HIGH SCHOOL - QUEENS,32-24 CORPORAL KENNEDY STREET,87060,03/31/2023,QUEENS,11361,40.771755,-73.780296,411,19,1097,4134578,4060440001,QN1102
