School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,23184,33,82,2618,14
2022-2023,20704,3,10,398,3
2022-2023,10519,19,22,529,4
2022-2023,18657,37,106,3056,2
2022-2023,28044,2,2,27,2
2022-2023,09457,3,4,101,3
2022-2023,27306,4,14,284,4
2022-2023,26433,583,727,4755,29
2022-2023,18402,5,10,374,3
2022-2023,13483,3,3,101,2
2022-2023,09454,1,1,33,1
2022-2023,10547,2,2,44,2
2022-2023,08564,7,12,375,7
2022-2023,10390,15,39,1150,13
2022-2023,03661,4,6,199,2
2022-2023,29551,2,3,105,2
2022-2023,16800,1,2,55,1
2022-2023,11106,21,47,1666,13
2022-2023,24325,5,10,307,5
2022-2023,07003,16,21,789,6
2022-2023,21436,13,16,314,4
2022-2023,04483,36,72,1800,1
2022-2023,19300,4,9,232,4
2022-2023,02360,1,1,44,1
2022-2023,09132,8,16,470,6
2022-2023,28458,4,10,353,2
2022-2023,22203,20,53,1981,15
2022-2023,17005,82,89,1169,5
2022-2023,13528,27,27,353,10
2022-2023,29109,14,91,3809,13
2022-2023,10015,16,29,843,12
2022-2023,02778,1,1,41,1
2022-2023,28342,11,24,804,7
2022-2023,09058,27,38,847,6
2022-2023,12190,10,17,601,7
2022-2023,09042,9,15,456,9
2022-2023,23518,1,4,117,1
2022-2023,02811,11,11,198,1
2022-2023,19706,4,7,173,4
2022-2023,09017,1,1,34,1
2022-2023,15006,1,2,49,1
2022-2023,24737,1,2,74,1
2022-2023,31757,37,48,1390,4
2022-2023,18285,12,21,699,11
2022-2023,31446,10,12,259,6
2022-2023,12688,32,58,1730,16
2022-2023,13688,1,2,15,1
2022-2023,21329,3,5,148,2
2022-2023,29052,55,60,1644,8
2022-2023,27415,144,147,912,7
2022-2023,18684,4,24,951,2
2022-2023,19202,34,36,836,17
2022-2023,21002,60,60,716,6
2022-2023,09004,1,1,44,1
2022-2023,12008,1,1,10,1
2022-2023,20170,29,57,2155,13
2022-2023,25022,61,61,1581,27
2022-2023,20844,1,30,1320,1
2022-2023,11657,31,43,959,9
2022-2023,02492,14,22,645,9
2022-2023,31059,54,87,2551,30
2022-2023,09001,4,5,155,3
2022-2023,07017,8,37,1478,6
2022-2023,31079,638,643,8887,23
2022-2023,17571,2,2,66,2
2022-2023,31084,20,20,260,18
2022-2023,15958,4,5,120,4
2022-2023,14577,28,65,2448,9
2022-2023,29131,12,23,749,8
2022-2023,29552,3,6,264,3
2022-2023,20259,42,91,3198,19
2022-2023,21723,15,20,648,7
2022-2023,11357,17,51,1641,13
2022-2023,31469,200,559,2751,16
2022-2023,26177,1543,1598,15916,37
2022-2023,30748,4,5,138,4
2022-2023,18565,2,3,78,2
2022-2023,13553,1,3,100,1
2022-2023,31069,9,9,39,4
2022-2023,22664,8,11,319,5
2022-2023,14071,1,2,67,1
2022-2023,24515,12,16,380,10
2022-2023,19325,47,75,2446,19
2022-2023,04672,131,192,5251,25
2022-2023,28417,7,15,435,4
2022-2023,24488,2,15,252,2
2022-2023,21703,4,6,184,3
2022-2023,04837,7,12,381,4
2022-2023,03351,7,24,913,4
2022-2023,31077,125,241,1864,13
2022-2023,08349,7,13,351,6
2022-2023,10074,72,78,2540,5
2022-2023,31072,32,37,691,14
2022-2023,18694,89,104,2931,7
2022-2023,27060,15,38,1434,5
2022-2023,24239,15,36,967,10
2022-2023,28447,2,7,179,2
2022-2023,03494,4,4,133,4
2022-2023,02033,23,27,775,9
2022-2023,31707,2,3,123,2
2022-2023,22740,4,6,129,4
2022-2023,19149,7,7,97,4
2022-2023,27100,41,41,1200,10
2022-2023,05686,11,40,1448,6
2022-2023,07499,4,12,367,4
2022-2023,18208,3,8,284,3
2022-2023,02999,45,46,1731,7
2022-2023,21453,35,35,385,1
2022-2023,21370,32,32,288,1
2022-2023,04206,17,39,1338,10
2022-2023,21697,16,25,693,5
2022-2023,03185,2,4,78,2
2022-2023,20866,2,4,97,1
2022-2023,01400,3,3,45,3
2022-2023,13141,1,1,22,1
2022-2023,21685,24,39,1234,16
2022-2023,15001,44,69,2464,15
2022-2023,31801,4,5,150,3
2022-2023,25294,11,26,865,8
2022-2023,19507,11,23,766,7
2022-2023,25724,6,13,471,6
2022-2023,19273,6,14,478,6
2022-2023,07587,2,4,176,2
2022-2023,11471,5,12,416,3
2022-2023,20441,6,17,553,4
2022-2023,10431,3,3,41,1
2022-2023,07004,6,12,339,5
2022-2023,11648,30,64,1599,6
2022-2023,05655,2,10,398,2
2022-2023,17012,29,43,1367,8
2022-2023,17020,1,1,43,1
2022-2023,27386,10,23,780,5
2022-2023,08345,14,57,2129,10
2022-2023,31038,23,35,938,18
2022-2023,17399,14,30,1037,10
2022-2023,09497,1,2,65,1
2022-2023,22725,3,3,54,3
2022-2023,10141,10,38,1523,10
2022-2023,22222,31,70,1971,10
2022-2023,19663,3,3,95,3
2022-2023,20894,1,7,265,1
2022-2023,09328,5,11,343,3
2022-2023,25008,1,1,8,1
2022-2023,17722,8,16,537,8
2022-2023,08003,1,1,33,1
2022-2023,09003,4,9,315,3
2022-2023,13803,2,8,302,2
2022-2023,05499,5,8,295,5
2022-2023,24073,6,9,284,6
2022-2023,07458,7,15,496,5
2022-2023,24422,388,390,2336,6
2022-2023,31029,61,105,3409,23
2022-2023,17894,72,76,2566,11
2022-2023,31046,8,8,50,3
2022-2023,04671,29,77,2774,9
2022-2023,25130,15,26,741,14
2022-2023,24527,2,2,77,2
2022-2023,30361,5,11,419,4
2022-2023,07818,12,27,868,9
2022-2023,32086,23,42,1404,15
2022-2023,15015,27,47,1181,17
2022-2023,21871,71,72,473,5
2022-2023,32123,3,8,252,3
2022-2023,30235,4,7,223,3
2022-2023,11089,35,72,2439,17
2022-2023,03165,11,18,474,5
2022-2023,22011,358,359,3818,13
2022-2023,11716,5,5,110,5
2022-2023,20818,2,4,94,2
2022-2023,17091,12,32,941,9
2022-2023,11685,22,41,1395,13
2022-2023,16262,18,23,589,7
2022-2023,02055,3,6,225,2
2022-2023,27090,7,21,697,4
2022-2023,08036,17,43,1467,9
2022-2023,14588,14,21,689,12
2022-2023,25244,34,44,1157,10
2022-2023,09218,28,76,2804,16
2022-2023,12084,233,292,3236,32
2022-2023,31742,4,15,585,4
2022-2023,25209,29,48,1515,18
2022-2023,09458,5,12,243,5
2022-2023,13046,34,47,1379,23
2022-2023,12404,1,1,12,1
2022-2023,20229,23,52,1766,13
2022-2023,14319,5,9,305,4
2022-2023,23671,2,4,140,2
2022-2023,14037,25,51,1777,13
2022-2023,25300,5,9,282,4
2022-2023,20743,4,8,241,3
2022-2023,27297,15,50,1696,11
2022-2023,02340,8,11,335,6
2022-2023,24113,14,18,483,5
2022-2023,03853,14,33,611,13
