School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,21225,20,79,2650,18
2022-2023,22017,24,47,1669,2
2022-2023,26460,5,13,344,4
2022-2023,02116,4,4,113,2
2022-2023,24744,10,10,252,9
2022-2023,29409,2,10,433,2
2022-2023,14297,10,28,1016,10
2022-2023,02267,27,49,1682,13
2022-2023,07644,5,5,22,2
2022-2023,23327,8,22,716,8
2022-2023,08497,2,3,77,2
2022-2023,27197,14,26,603,7
2022-2023,10008,42,69,2237,14
2022-2023,30148,17,31,1026,8
2022-2023,05194,42,89,2594,6
2022-2023,11370,11,26,836,6
2022-2023,12061,4,8,210,4
2022-2023,06765,6,11,383,3
2022-2023,11465,2964,3281,29487,31
2022-2023,20127,30,41,1336,12
2022-2023,26074,23,57,1828,14
2022-2023,28121,26,62,2142,14
2022-2023,31065,35,57,1266,22
2022-2023,26026,8,20,769,4
2022-2023,31010,9,10,260,8
2022-2023,11689,2,2,20,2
2022-2023,13282,94,158,4788,18
2022-2023,02051,15,24,796,11
2022-2023,19687,13,17,477,10
2022-2023,21765,4,10,359,4
2022-2023,14449,1,5,187,1
2022-2023,25242,6,8,235,2
2022-2023,11087,3,6,149,2
2022-2023,09413,4,13,423,3
2022-2023,30291,2,4,134,1
2022-2023,24277,12,26,486,10
2022-2023,31098,1,1,29,1
2022-2023,09471,12,26,893,10
2022-2023,11399,1,1,30,1
2022-2023,26315,12,28,899,11
2022-2023,31023,17,35,1277,10
2022-2023,19171,5,6,161,5
2022-2023,18480,1,1,12,1
2022-2023,21907,718,799,9527,40
2022-2023,02059,14,31,1078,6
2022-2023,02666,2,4,151,2
2022-2023,31030,39,76,2636,12
2022-2023,15038,19,22,518,5
2022-2023,28680,14,24,836,9
2022-2023,21756,2,3,89,2
2022-2023,13754,17,25,645,15
2022-2023,08465,3,9,338,3
2022-2023,31031,32,45,1389,16
2022-2023,21894,364,368,1344,15
2022-2023,10654,71,179,6982,32
2022-2023,09419,11,20,668,10
2022-2023,28018,15,45,1614,9
2022-2023,27318,22,28,916,19
2022-2023,10614,1,1,31,1
2022-2023,07002,2,5,160,2
2022-2023,26221,24,45,1443,14
2022-2023,17382,8,12,391,7
2022-2023,09466,8,15,489,6
2022-2023,24731,2,3,94,2
2022-2023,01020,21,22,690,8
2022-2023,14414,42,60,1766,26
2022-2023,08375,1,2,55,1
2022-2023,02846,4,6,172,4
2022-2023,28349,7,16,570,6
2022-2023,21288,50,88,2907,31
2022-2023,17246,1,1,10,1
2022-2023,12511,9,19,563,7
2022-2023,15088,6,12,306,5
2022-2023,10732,1,1,22,1
2022-2023,11674,2,2,34,2
2022-2023,07492,3,5,114,3
2022-2023,19664,1,2,52,1
2022-2023,10731,4,6,184,4
2022-2023,11552,3,9,353,3
2022-2023,07388,6,24,891,4
2022-2023,12013,96,96,1139,3
2022-2023,22533,3,5,147,3
2022-2023,02040,27,40,1383,11
2022-2023,20042,5,5,51,2
2022-2023,16688,11,12,314,8
2022-2023,23644,29,104,4111,10
2022-2023,04016,115,143,1958,20
2022-2023,27718,2,9,391,2
2022-2023,07584,1,2,50,1
2022-2023,06132,11,24,197,4
2022-2023,28284,25,49,1583,14
2022-2023,24715,3,5,164,3
2022-2023,09055,20,21,522,7
2022-2023,06749,1,2,63,1
2022-2023,10628,2,6,210,1
2022-2023,16464,3,6,122,3
2022-2023,25460,1,2,22,1
2022-2023,31049,36,111,4266,17
2022-2023,27261,5,5,138,5
2022-2023,09177,2,3,100,2
2022-2023,10080,2,2,66,2
2022-2023,02281,2,6,240,2
2022-2023,10351,11,32,1055,6
2022-2023,07049,60,121,3954,13
2022-2023,08367,13,32,928,11
2022-2023,18576,8,15,547,7
2022-2023,18114,12,38,1111,8
2022-2023,15029,24,36,1261,13
2022-2023,02699,17,22,493,10
2022-2023,27210,11,18,665,9
2022-2023,08635,6,7,211,6
2022-2023,16489,2,2,32,1
2022-2023,15371,2,2,38,2
2022-2023,24457,9,11,251,7
2022-2023,29405,15,20,238,8
2022-2023,17249,26,73,2364,14
2022-2023,02310,67,67,724,11
2022-2023,29339,7,24,866,7
2022-2023,08130,9,13,383,9
2022-2023,21216,7,7,42,1
2022-2023,07018,21,40,1199,16
2022-2023,10081,20,58,2122,11
2022-2023,29134,35,53,1480,10
2022-2023,27021,1,5,121,1
2022-2023,30577,11,14,514,3
2022-2023,26674,4,6,195,4
2022-2023,27065,14,33,859,9
2022-2023,30013,3,6,144,3
2022-2023,31684,44,50,1192,6
2022-2023,02370,2,4,110,2
2022-2023,07465,11,27,981,6
2022-2023,12044,16,16,535,13
2022-2023,08377,7,7,180,7
2022-2023,17289,11,28,641,7
2022-2023,30149,14,22,772,10
2022-2023,26769,1,1,16,1
2022-2023,20220,5,15,529,4
2022-2023,27043,20,38,1410,10
2022-2023,17316,4,9,310,4
2022-2023,04678,40,47,1594,6
2022-2023,12450,6,15,208,3
2022-2023,17570,3,8,298,3
2022-2023,17685,6,18,605,6
2022-2023,30145,27,59,2109,12
2022-2023,27106,4,12,360,4
2022-2023,19764,2,4,118,2
2022-2023,20711,7,30,1205,4
2022-2023,02884,99,99,1749,1
2022-2023,12419,62,72,2026,27
2022-2023,08301,13,21,689,11
2022-2023,13054,17,21,402,7
2022-2023,25169,20,25,956,17
2022-2023,01064,13,17,465,11
2022-2023,23165,2,4,81,2
2022-2023,22527,5,6,193,5
2022-2023,27004,5,5,99,4
2022-2023,18736,13,25,786,9
2022-2023,02526,33,54,1906,16
2022-2023,09443,8,26,820,5
2022-2023,20869,3,18,781,2
2022-2023,06278,28,28,712,9
2022-2023,25193,18,28,774,8
2022-2023,19639,4,9,261,4
2022-2023,14465,1,2,7,1
2022-2023,02124,26,26,743,14
2022-2023,28797,2,4,149,1
2022-2023,26098,9,17,473,6
2022-2023,02198,12,12,377,2
2022-2023,09219,3,8,239,2
2022-2023,07688,2,3,91,2
2022-2023,15705,1,1,39,1
2022-2023,11180,24,50,1679,18
2022-2023,10485,1,3,70,1
2022-2023,21746,4,13,525,2
2022-2023,02990,1,2,49,1
2022-2023,18465,37,38,766,4
2022-2023,26266,32,47,1407,23
2022-2023,28287,7,16,601,6
2022-2023,21741,7,10,292,4
2022-2023,02414,23,23,380,2
2022-2023,21682,19,21,546,10
2022-2023,02343,6,8,262,4
2022-2023,31058,25,38,980,15
2022-2023,29033,46,81,2587,15
2022-2023,30222,22,47,1750,11
2022-2023,30769,2,3,110,2
2022-2023,08410,1,1,15,1
2022-2023,12098,4,7,242,4
2022-2023,09204,36,73,2276,21
2022-2023,27445,389,489,4426,12
2022-2023,30685,3,5,135,1
2022-2023,27232,71,129,4255,24
2022-2023,01867,1,4,132,1
2022-2023,15004,22,24,776,5
2022-2023,24305,32,44,1104,10
2022-2023,31507,514,706,9710,17
2022-2023,02968,34,34,238,1
2022-2023,31760,11,12,315,10
2022-2023,17403,26,26,374,4
2022-2023,06128,18,28,364,6
2022-2023,17189,20,119,4833,7
2022-2023,09173,8,12,319,8
2022-2023,17574,6,15,524,6
2022-2023,07601,3,7,222,3
2022-2023,02151,20,44,1501,13
2022-2023,19345,16,49,1848,8
2022-2023,12196,5,15,580,5
2022-2023,04155,68,136,4556,1
2022-2023,31045,51,54,1203,20
2022-2023,23284,6,9,272,6
2022-2023,11505,12,13,425,11
2022-2023,03145,46,54,1390,20
2022-2023,20858,9,13,373,9
2022-2023,08517,9,13,373,8
2022-2023,20200,14,25,777,11
2022-2023,18066,8,22,687,8
2022-2023,23522,2,4,89,2
2022-2023,30017,27,51,1703,17
2022-2023,05031,8,12,424,4
2022-2023,24687,5,10,279,5
2022-2023,04469,2,3,64,2
2022-2023,17623,17,17,423,10
2022-2023,17544,1,2,55,1
2022-2023,05004,5,10,329,3
2022-2023,10279,12,22,661,8
2022-2023,22707,9,15,503,8
2022-2023,15859,9,29,1063,8
2022-2023,27308,7,7,198,6
2022-2023,17688,11,20,611,10
2022-2023,21344,3,3,78,2
2022-2023,28050,8,16,513,5
2022-2023,17006,26,107,4084,9
2022-2023,11729,1,3,109,1
2022-2023,31064,6,8,119,5
2022-2023,26446,7,7,146,3
2022-2023,06462,2,2,20,2
2022-2023,04121,23,44,695,10
2022-2023,15430,43,46,1147,8
2022-2023,11561,10,21,723,6
2022-2023,31720,2,3,108,2
2022-2023,30084,6,8,179,6
2022-2023,20702,1,2,56,1
2022-2023,23003,3,3,57,3
2022-2023,11732,13,29,901,10
2022-2023,11570,19,35,1168,10
2022-2023,22198,5,11,313,2
2022-2023,08071,6,14,450,5
2022-2023,02431,34,34,374,1
2022-2023,25029,26,40,1291,20
2022-2023,28182,8,13,373,8
2022-2023,30321,30,30,1050,8
2022-2023,12006,12,19,727,6
2022-2023,28157,8,10,303,5
2022-2023,15094,42,96,3498,13
2022-2023,02814,1,2,2,1
2022-2023,02701,4,5,89,4
2022-2023,19158,34,58,1944,7
2022-2023,09229,10,25,564,5
2022-2023,28695,10,13,294,5
2022-2023,23848,8,21,893,5
2022-2023,21303,11,40,1563,6
2022-2023,28354,18,30,761,10
2022-2023,15896,1,2,73,1
2022-2023,02730,26,26,575,8
2022-2023,29270,26,64,1970,21
2022-2023,31985,9,9,206,7
2022-2023,29569,11,30,964,10
2022-2023,20205,47,109,3943,36
2022-2023,21215,20,57,2153,8
2022-2023,16669,36,61,2177,25
2022-2023,31041,12,18,595,7
2022-2023,09274,11,18,578,9
2022-2023,10664,4,6,54,2
2022-2023,12383,6,8,221,6
2022-2023,01422,24,29,953,4
2022-2023,19224,15,18,258,6
2022-2023,15839,7,19,457,5
2022-2023,28488,2,2,58,2
2022-2023,07560,3,11,430,3
2022-2023,21153,25,62,2076,17
2022-2023,22417,2,4,90,2
2022-2023,18268,4,12,404,4
2022-2023,24061,28,78,2618,14
2022-2023,19159,34,67,2109,19
2022-2023,21253,46,90,2795,11
2022-2023,12242,9,20,633,7
2022-2023,31174,12,13,422,8
2022-2023,13270,25,27,458,8
2022-2023,02844,24,34,909,14
2022-2023,20748,5,7,219,3
2022-2023,24093,3,9,318,3
2022-2023,11016,5,5,189,5
2022-2023,01429,21,46,1716,9
2022-2023,22810,20,20,498,13
2022-2023,06028,8,8,182,5
2022-2023,30398,12,31,1006,6
2022-2023,13069,3,3,66,3
2022-2023,31086,11,24,802,8
2022-2023,29176,13,22,800,9
2022-2023,21900,3,6,219,3
2022-2023,28599,6,12,429,6
2022-2023,24022,44,50,658,10
2022-2023,23514,3,5,110,3
2022-2023,21506,2,2,45,2
2022-2023,06152,1,3,60,1
2022-2023,17539,2,5,198,2
2022-2023,12002,6,14,434,5
2022-2023,21226,36,93,2973,26
2022-2023,03713,6,7,204,5
2022-2023,25521,30,31,1113,24
2022-2023,26003,7,20,617,2
2022-2023,06349,1,3,95,1
2022-2023,09339,5,10,371,5
2022-2023,18569,20,20,615,12
2022-2023,10094,15,15,336,10
2022-2023,11476,19,20,490,14
2022-2023,24012,69,71,2084,16
2022-2023,15295,19,22,576,11
2022-2023,10704,1,2,46,1
2022-2023,14318,38,70,2150,29
2022-2023,21470,1,3,52,1
2022-2023,27319,14,29,1041,11
2022-2023,28662,8,13,315,6
2022-2023,02111,17,23,724,11
2022-2023,13446,4,5,129,3
2022-2023,08706,10,11,318,9
2022-2023,12531,7,17,414,2
2022-2023,08138,3,13,538,2
2022-2023,20517,1,4,150,1
2022-2023,14300,1,2,46,1
2022-2023,06004,59,89,1343,2
2022-2023,02809,3,11,430,2
2022-2023,25001,5,11,361,5
2022-2023,14646,4,11,199,3
2022-2023,24716,2,4,130,2
2022-2023,20201,18,58,2277,11
2022-2023,02568,8,11,217,4
2022-2023,18235,1,4,139,1
2022-2023,11021,30,53,1710,11
2022-2023,07480,7,9,205,4
2022-2023,02692,173,185,6025,16
2022-2023,25154,42,51,1654,19
2022-2023,08489,2,4,128,2
2022-2023,30069,32,66,2268,19
2022-2023,20738,7,7,165,3
2022-2023,20971,20,27,766,18
2022-2023,30787,4,5,166,2
2022-2023,09035,11,19,515,5
2022-2023,10264,6,9,336,4
2022-2023,26159,30,33,1128,12
2022-2023,30112,18,33,1096,17
2022-2023,30234,4,9,285,3
2022-2023,28175,35,74,2511,15
2022-2023,25165,74,96,2919,16
2022-2023,31008,12,13,401,9
2022-2023,31511,45,49,1177,3
2022-2023,29038,5,12,408,4
2022-2023,15668,1,1,25,1
2022-2023,17241,18,23,611,8
2022-2023,11121,16,25,755,9
2022-2023,30076,14,25,870,9
2022-2023,15890,9,17,575,7
2022-2023,32538,8,25,958,4
2022-2023,05092,19,19,491,19
2022-2023,27564,5,5,152,5
2022-2023,15760,13,13,403,9
2022-2023,09252,3,5,162,2
2022-2023,15563,7,9,220,7
2022-2023,06366,4,8,245,4
2022-2023,11458,39,40,819,20
2022-2023,07259,50,136,4801,8
2022-2023,24016,16,35,1139,3
2022-2023,29034,12,34,1133,7
2022-2023,21445,67,79,1736,11
2022-2023,24028,7,9,224,5
2022-2023,27105,27,38,1095,17
2022-2023,25164,24,33,726,16
2022-2023,06209,3,7,264,3
2022-2023,29017,8,16,505,4
2022-2023,20500,10,10,302,8
2022-2023,26188,17,31,1061,8
2022-2023,24049,36,68,2393,11
2022-2023,09724,2,2,66,2
2022-2023,06068,2,6,200,2
2022-2023,24307,10,19,496,5
2022-2023,14196,2,3,87,2
2022-2023,02461,2,6,200,2
2022-2023,20488,34,53,1459,11
2022-2023,08107,6,17,630,4
2022-2023,04657,1,2,16,1
2022-2023,15569,1,2,44,1
2022-2023,22206,54,82,2699,18
2022-2023,31096,8,16,585,2
2022-2023,25241,2,2,59,2
2022-2023,31006,26,45,1289,13
2022-2023,16008,1,7,295,1
2022-2023,07434,5,9,216,5
2022-2023,15481,3,5,63,2
2022-2023,31004,22,47,1164,11
2022-2023,18581,2,4,156,2
2022-2023,23684,4,13,429,1
2022-2023,21424,1,1,9,1
2022-2023,31453,79,79,856,4
2022-2023,11532,6,13,372,4
2022-2023,31078,35,37,801,18
2022-2023,08075,12,33,1289,9
2022-2023,20163,23,59,1645,16
2022-2023,10095,33,94,3242,15
2022-2023,11189,5,16,366,5
2022-2023,16681,3,10,292,3
2022-2023,32384,27,45,1054,20
2022-2023,13414,6,8,185,5
2022-2023,26390,9,13,311,8
2022-2023,24330,14,18,473,7
2022-2023,22286,344,473,5436,27
2022-2023,27254,22,32,884,13
2022-2023,10075,1,1,8,1
2022-2023,10056,34,62,2122,12
2022-2023,24088,28,52,1812,17
2022-2023,02706,5,5,148,5
2022-2023,10363,3,5,157,3
2022-2023,29462,6,16,563,6
2022-2023,29251,17,23,690,13
2022-2023,29016,2,5,82,2
2022-2023,29006,4,11,329,4
2022-2023,28080,89,245,4726,16
2022-2023,06223,2,4,122,2
2022-2023,01420,1,2,45,1
2022-2023,12632,6,24,962,3
2022-2023,10386,16,19,514,9
2022-2023,10489,8,13,380,7
2022-2023,31704,8,19,641,8
2022-2023,09543,6,7,183,4
2022-2023,16004,5,10,350,5
2022-2023,07486,2,5,188,1
2022-2023,20264,9,13,338,8
2022-2023,31003,88,102,3101,28
2022-2023,26456,2,4,108,1
2022-2023,28117,25,58,2038,16
2022-2023,24081,26,57,1934,15
2022-2023,25927,8,8,38,2
2022-2023,13301,4,10,335,3
2022-2023,09516,12,33,917,11
2022-2023,05383,11,21,570,9
2022-2023,11588,3,6,193,3
2022-2023,17668,3,4,122,3
2022-2023,21177,43,102,3764,19
2022-2023,10205,29,29,725,7
2022-2023,31051,69,86,1965,25
2022-2023,27724,8,9,277,7
2022-2023,08454,7,24,919,5
2022-2023,04096,16,21,438,13
2022-2023,31168,3,4,115,2
2022-2023,19557,7,13,382,7
2022-2023,10118,10,19,641,8
2022-2023,25024,48,98,3261,13
2022-2023,13691,4,6,193,4
2022-2023,18701,7,12,511,6
2022-2023,20798,6,21,820,5
2022-2023,29035,16,25,747,9
2022-2023,16628,67,105,3089,33
2022-2023,03861,16,17,368,12
2022-2023,29337,5,20,745,4
2022-2023,10086,61,107,3454,17
2022-2023,22078,6,17,630,5
2022-2023,24560,6,18,595,4
2022-2023,26205,17,25,796,12
2022-2023,23414,1,2,70,1
2022-2023,19658,4,16,469,3
2022-2023,30384,14,27,796,10
2022-2023,11725,2,4,116,2
2022-2023,28055,7,22,742,5
2022-2023,28161,23,45,1482,8
2022-2023,13369,2,5,145,2
2022-2023,27047,13,24,818,12
2022-2023,02031,8,30,1182,6
2022-2023,31452,17,28,660,11
2022-2023,17357,3,9,336,3
2022-2023,31802,13,14,343,12
2022-2023,27045,19,44,1138,13
2022-2023,22361,59,88,2628,18
2022-2023,12937,1,1,33,1
2022-2023,21238,3,4,126,2
2022-2023,10054,7,15,490,7
2022-2023,20005,1,2,56,1
2022-2023,17933,2,10,370,2
2022-2023,29037,24,68,2344,18
2022-2023,31061,36,90,2667,15
2022-2023,19036,10,11,280,7
2022-2023,31132,8,23,709,5
2022-2023,29192,12,56,2007,9
2022-2023,22197,91,91,2486,15
2022-2023,28407,3,4,52,3
2022-2023,13587,5,6,194,3
2022-2023,04146,2,4,113,2
2022-2023,20015,30,60,1789,2
2022-2023,28139,18,26,707,12
2022-2023,31422,260,260,4373,12
2022-2023,19065,22,62,2044,18
2022-2023,26505,11,16,547,10
2022-2023,14132,23,40,1159,7
2022-2023,19935,6,28,1001,6
2022-2023,27183,44,71,2123,28
2022-2023,11105,16,46,1728,2
2022-2023,03736,17,20,544,13
2022-2023,31718,3,7,235,2
2022-2023,31047,56,94,2722,27
2022-2023,23687,3,6,210,2
2022-2023,23467,3,8,290,2
2022-2023,22790,14,40,1551,8
2022-2023,17528,15,16,452,6
2022-2023,07030,7,17,522,6
2022-2023,14614,8,12,385,8
2022-2023,29356,2,5,180,2
2022-2023,32075,20,23,621,5
2022-2023,17551,2,8,289,2
2022-2023,17034,4,6,147,4
2022-2023,09199,16,34,1168,7
2022-2023,16026,5,8,261,5
2022-2023,22791,9,18,573,8
2022-2023,07617,12,33,1122,8
2022-2023,13439,6,7,132,6
2022-2023,18578,1,1,17,1
2022-2023,17495,1,2,81,1
2022-2023,22062,3,6,158,2
2022-2023,11739,3,4,148,2
2022-2023,24700,7,15,484,6
2022-2023,22689,3,5,147,3
2022-2023,02572,1,1,44,1
2022-2023,27137,28,136,5629,14
2022-2023,14034,27,50,1591,21
2022-2023,10027,183,187,2750,10
2022-2023,09294,10,21,464,8
2022-2023,19218,9,28,962,6
2022-2023,09088,1,1,41,1
2022-2023,27895,1,3,121,1
2022-2023,20105,6,10,240,2
2022-2023,07277,13,32,1126,9
2022-2023,20485,7,14,383,5
2022-2023,05197,76,83,2307,6
2022-2023,07449,2,2,38,2
2022-2023,14007,16,28,1032,11
2022-2023,29443,8,31,574,6
2022-2023,27317,33,81,2926,17
2022-2023,02393,1,5,214,1
2022-2023,28160,31,59,1878,17
2022-2023,24740,1,3,129,1
2022-2023,06153,1,1,40,1
2022-2023,05365,2,5,161,2
2022-2023,26443,9,9,207,3
2022-2023,05684,2,6,224,2
2022-2023,28082,5,11,383,4
2022-2023,25661,11,16,443,10
2022-2023,03669,26,29,760,12
2022-2023,21893,7,10,177,6
2022-2023,09014,44,65,2142,6
2022-2023,05200,6,10,337,5
2022-2023,02418,6,7,225,5
2022-2023,16457,3,3,63,3
2022-2023,17532,6,14,449,6
2022-2023,10306,197,286,8013,11
2022-2023,26046,20,39,1128,12
2022-2023,25501,7,12,320,7
2022-2023,31042,39,126,4624,18
2022-2023,31092,10,11,181,6
2022-2023,04102,1,2,19,1
2022-2023,30476,33,33,165,5
2022-2023,30171,8,16,487,6
2022-2023,11097,10,26,943,6
2022-2023,25237,21,107,4178,6
2022-2023,03475,10,18,477,2
2022-2023,31022,45,77,2501,16
2022-2023,22599,1,1,28,1
2022-2023,08048,1,7,240,1
2022-2023,20816,11,30,1123,10
2022-2023,22255,10,41,1647,6
2022-2023,31035,32,53,1590,14
2022-2023,21565,9,13,333,9
2022-2023,15014,2,7,275,2
2022-2023,26031,34,62,2089,17
2022-2023,21772,1,4,150,1
2022-2023,19510,3,3,73,3
2022-2023,10045,9,16,492,5
2022-2023,29195,14,21,682,8
2022-2023,10280,28,70,2336,19
2022-2023,03862,2,4,144,1
2022-2023,20192,20,29,755,16
2022-2023,31902,52,71,1801,18
2022-2023,27515,22,40,1367,16
2022-2023,31547,22,28,815,17
2022-2023,31048,31,55,1338,16
2022-2023,02818,6,8,281,5
2022-2023,10533,21,31,1069,16
2022-2023,22278,14,17,518,11
2022-2023,15684,7,10,328,7
2022-2023,22234,18,35,1259,12
2022-2023,18588,6,12,390,6
2022-2023,17353,26,33,967,25
2022-2023,08001,12,22,763,9
2022-2023,21101,24,58,2002,10
2022-2023,10007,22,30,1005,11
2022-2023,08730,1,1,36,1
2022-2023,31085,11,13,301,6
2022-2023,03809,8,13,378,7
2022-2023,26173,65,79,2465,13
2022-2023,30901,7,8,132,7
2022-2023,24811,7,11,372,6
2022-2023,29743,3,4,138,3
2022-2023,24418,5,6,227,5
2022-2023,17711,1,2,53,1
2022-2023,02177,3,6,122,3
2022-2023,29118,5,8,276,4
2022-2023,04486,2,4,82,1
2022-2023,14761,1,1,11,1
2022-2023,10497,3,7,200,2
2022-2023,20446,13,18,227,8
2022-2023,11103,39,64,1777,13
2022-2023,30050,3,9,230,3
2022-2023,30011,36,81,2932,23
2022-2023,06009,8,33,1154,5
2022-2023,31053,37,59,1744,18
2022-2023,10553,12,19,593,11
2022-2023,24467,1,2,43,1
2022-2023,19502,3,3,110,3
2022-2023,25185,17,50,1844,8
2022-2023,31033,4,10,329,4
2022-2023,08711,3,5,154,3
2022-2023,26001,18,33,1216,14
2022-2023,10091,12,15,422,2
2022-2023,28217,37,98,3566,25
2022-2023,18366,4,9,311,4
2022-2023,17460,27,30,206,2
2022-2023,14435,40,41,813,9
2022-2023,10444,1,2,39,1
2022-2023,28014,4,4,101,4
2022-2023,09490,2,4,151,2
2022-2023,13569,1,1,17,1
2022-2023,05755,1,2,63,1
2022-2023,02174,14,24,851,5
2022-2023,18135,9,16,542,7
2022-2023,06189,35,49,856,8
2022-2023,11255,1,3,94,1
2022-2023,02537,87,87,174,1
2022-2023,29005,1,1,13,1
2022-2023,13256,32,38,1111,11
2022-2023,03711,1,1,16,1
2022-2023,02870,4,8,229,3
2022-2023,20204,14,27,815,9
2022-2023,06103,12,36,1267,5
2022-2023,17010,5,19,688,5
2022-2023,27011,5,5,95,5
2022-2023,11355,5,16,587,3
2022-2023,06373,9,17,690,4
2022-2023,21725,6,12,379,4
2022-2023,10244,5,10,336,3
2022-2023,27108,25,42,1423,7
2022-2023,25240,1,1,33,1
2022-2023,20048,9,28,1030,7
2022-2023,19907,4,12,370,4
2022-2023,32562,2,4,155,2
2022-2023,07794,24,25,519,10
2022-2023,08140,84,187,3883,10
2022-2023,10032,5,9,300,4
2022-2023,03084,32,56,1640,17
2022-2023,02871,4,5,155,4
2022-2023,05148,7,12,297,5
2022-2023,24110,126,228,7112,21
2022-2023,32793,1,3,98,1
2022-2023,06173,20,44,1483,11
2022-2023,21022,2,4,125,2
2022-2023,20310,3,5,129,2
2022-2023,10599,6,18,582,3
2022-2023,09639,3,6,195,3
2022-2023,22634,6,39,1490,6
2022-2023,31060,30,65,2232,16
2022-2023,03450,2,2,44,2
2022-2023,13492,17,34,1143,12
2022-2023,20728,3,13,528,2
2022-2023,04009,1,3,121,1
2022-2023,06311,1,2,50,1
2022-2023,15644,17,27,869,10
2022-2023,16243,11,22,665,8
2022-2023,15758,1,3,104,1
2022-2023,22014,56,80,1847,17
2022-2023,24750,7,7,207,6
2022-2023,10368,2,3,89,2
2022-2023,31719,34,34,881,15
2022-2023,31737,5,8,203,5
2022-2023,08123,24,56,2075,12
2022-2023,12447,14,25,864,10
2022-2023,18759,1,4,142,1
2022-2023,28770,5,13,488,5
2022-2023,02514,5,9,275,5
2022-2023,15478,24,46,1611,12
2022-2023,07638,2,5,169,2
2022-2023,25129,33,47,1548,13
2022-2023,20410,6,7,161,6
2022-2023,27320,3,5,190,2
2022-2023,26464,9,17,456,6
2022-2023,18633,6,15,482,5
2022-2023,27202,15,37,1235,13
2022-2023,30289,17,26,704,17
2022-2023,03013,11,11,225,6
2022-2023,06115,4,5,108,3
2022-2023,31099,1483,1702,17686,35
2022-2023,14471,1,1,27,1
2022-2023,22007,4,6,187,3
2022-2023,14450,6,18,561,5
2022-2023,02646,2,10,387,2
2022-2023,31404,4,4,63,2
2022-2023,17138,7,27,954,6
2022-2023,07586,6,11,370,4
2022-2023,27226,15,50,1970,10
2022-2023,06008,4,7,193,3
2022-2023,21007,1,1,9,1
2022-2023,11083,64,151,5308,18
2022-2023,03180,8,9,246,4
2022-2023,31067,19,32,1042,12
2022-2023,11737,4,4,110,3
2022-2023,11844,10,10,357,7
2022-2023,21100,2,4,154,2
2022-2023,09818,2,2,51,2
2022-2023,09063,5,8,249,4
2022-2023,13707,3,3,108,1
2022-2023,29095,15,42,1580,10
2022-2023,13758,6,8,247,4
2022-2023,21099,34,74,2386,20
2022-2023,03408,4,4,47,1
2022-2023,14586,94,99,1888,11
2022-2023,07035,1,1,44,1
2022-2023,08002,1,1,24,1
2022-2023,26808,1,1,14,1
2022-2023,04481,6,10,289,4
2022-2023,28332,10,25,964,5
2022-2023,14031,20,27,829,9
2022-2023,22853,10,57,2258,7
2022-2023,04372,7,10,319,5
2022-2023,31032,22,34,1029,12
2022-2023,20884,2,2,61,2
2022-2023,07471,5,15,528,3
2022-2023,07296,2,2,39,1
2022-2023,18629,12,16,419,10
2022-2023,16025,4,10,282,3
2022-2023,11111,1,2,50,1
2022-2023,02566,61,91,791,1
2022-2023,10884,5,13,423,5
2022-2023,07389,1,2,87,1
2022-2023,12124,4,9,330,2
2022-2023,02921,2,2,80,1
2022-2023,30541,89,90,1139,4
2022-2023,27005,8,24,882,4
2022-2023,05517,3,4,122,3
2022-2023,13685,22,24,495,2
2022-2023,22726,30,41,1477,19
2022-2023,13351,3,7,161,3
2022-2023,27066,10,19,716,9
2022-2023,08013,10,29,768,7
2022-2023,04171,23,35,1093,8
2022-2023,14432,1,1,20,1
2022-2023,13307,4,9,251,2
2022-2023,18003,71,72,1076,6
2022-2023,29289,3,9,316,3
2022-2023,06685,2,5,118,2
2022-2023,09488,10,16,548,8
2022-2023,29248,2,7,308,2
2022-2023,07006,11,37,1245,11
2022-2023,04733,34,35,1392,4
2022-2023,28690,7,11,425,6
2022-2023,11538,9,17,508,7
2022-2023,07522,3,8,275,2
2022-2023,25189,13,42,1601,9
2022-2023,03709,2,2,26,2
2022-2023,31036,38,65,2021,23
2022-2023,22616,137,206,6171,25
2022-2023,09133,4,12,437,4
2022-2023,24010,12,23,497,10
2022-2023,23156,1,3,100,1
2022-2023,19938,3,5,131,1
2022-2023,30539,2,2,56,2
2022-2023,30408,5,9,293,2
2022-2023,13113,1,1,20,1
2022-2023,21806,10,37,1512,2
2022-2023,08464,92,92,276,1
2022-2023,24738,4,4,88,3
2022-2023,30300,24,39,1308,13
2022-2023,17828,34,124,4818,13
2022-2023,14719,4,9,303,3
2022-2023,02039,1,1,33,1
2022-2023,15750,20,39,1381,10
2022-2023,12214,7,19,756,4
2022-2023,28525,5,17,635,5
2022-2023,13008,13,13,376,4
2022-2023,31087,16,29,969,10
2022-2023,09611,1,2,58,1
2022-2023,15676,40,76,1446,4
2022-2023,14380,6,13,382,6
2022-2023,02966,2,6,224,2
2022-2023,24143,3,14,519,3
2022-2023,30753,4,4,140,4
2022-2023,09303,11,16,607,11
2022-2023,28140,3,6,220,3
2022-2023,11589,12,32,1242,10
2022-2023,01142,17,21,541,10
2022-2023,14059,53,54,1403,3
2022-2023,32411,31,44,958,8
2022-2023,11556,29,35,1175,19
2022-2023,19661,7,12,299,7
