SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
02M040,355,69,65,65,85,71,,,,,,,,,54,52,T,33,205,S,64,T,,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,,S
02M041,316,48,65,T,T,59,,,,,,,,S,31,40,S,42,200,S,57,T,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
02M042,352,64,T,65,T,T,,,,,,,,S,289,31,T,S,22,S,75,83,S,6,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
02M047,40,,,,,,,,,13,S,S,13,S,S,27,8,,S,S,10,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
02M051,240,44,42,52,43,59,,,,,,,,S,31,118,35,S,48,,60,20,8,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
02M059,255,60,62,47,49,37,,,,,,,,S,74,10,T,28,135,,46,16,,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,,S
02M077,190,40,37,37,40,36,,,,,,,,,86,9,,30,65,S,10,S,,,S,S,S,S,S,S,,,,,,,,,,S,,S,S,S,S,S,,
02M089,178,29,43,46,31,29,,,,,,,,S,41,15,S,23,96,,38,S,,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,,S
02M104,361,,,,,,214,74,73,,,,,S,114,56,19,18,146,T,49,S,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
02M111,134,17,29,28,32,28,,,,,,,,S,20,60,9,S,39,S,38,8,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
