SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
02M600,701,,,,,,,,,228,206,141,126,6,20,T,237,T,49,16,124,24,19,48,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M605,247,,,,,,,,,T,T,T,T,S,T,140,T,S,T,T,T,T,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M615,255,,,,,,,,,70,82,57,46,S,44,131,58,S,T,T,58,6,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M630,387,,,,,,,,,88,135,84,80,S,35,136,37,S,124,27,79,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M655,50,,,,,,,,,31,6,7,6,S,S,26,14,S,S,S,11,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M896,272,,,,,,91,85,96,,,,,S,89,44,23,14,98,S,74,T,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
02M933,41,,,,,,10,15,16,,,,,S,S,26,9,,S,,15,6,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
03M009,290,47,59,60,66,58,,,,,,,,S,29,51,S,29,173,S,52,12,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
03M054,367,,,,,,148,103,116,,,,,S,44,58,21,25,212,S,53,6,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
03M075,341,60,71,70,61,79,,,,,,,,S,T,189,52,T,68,S,166,58,20,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
03M076,215,T,T,T,T,T,T,32,35,,,,,S,S,43,157,S,T,,56,T,20,T,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
03M084,246,60,55,46,52,33,,,,,,,,S,8,81,19,12,126,,57,12,T,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
03M087,317,66,55,65,69,62,,,,,,,,,31,49,9,34,T,T,55,S,S,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
03M145,172,38,36,37,34,27,,,,,,,,,S,88,37,S,44,S,60,17,10,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
03M149,139,16,T,14,12,14,T,22,16,,,,,S,8,53,74,S,S,,24,18,8,14,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
03M163,250,38,60,47,45,60,,,,,,,,,T,T,41,18,61,S,44,20,S,13,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
03M165,155,23,49,27,22,34,,,,,,,,,S,74,27,S,37,,30,18,12,11,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
03M166,455,96,T,97,T,79,,,,,,,,S,74,57,T,49,249,T,51,T,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
03M180,168,25,37,28,23,17,18,14,6,,,,,,S,59,82,T,18,S,45,24,6,20,S,S,S,S,S,S,S,S,S,,,,,,,S,S,S,S,S,S,S,S,S
03M185,150,T,T,26,29,27,,,,,,,,S,S,62,64,S,18,,42,T,S,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
03M191,259,28,32,33,55,36,26,21,28,,,,,S,14,134,93,S,16,S,82,14,17,18,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
03M199,378,58,76,83,78,83,,,,,,,,S,72,34,S,31,220,S,73,T,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
03M241,34,8,S,8,S,14,,,,,,,,,S,S,16,S,S,,13,6,S,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
03M242,76,19,T,T,T,19,,,,,,,,,S,22,46,S,S,,25,S,S,T,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
03M243,130,,,,,33,39,29,29,,,,,,T,15,10,T,80,S,25,S,S,S,S,,,,,S,S,S,S,,,,,,,S,S,S,S,S,S,S,S,S
03M245,143,,,,,,56,44,43,,,,,S,S,27,9,13,83,S,27,S,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
03M247,182,,,,,,T,51,T,,,,,,S,172,S,S,T,,45,39,S,T,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
03M250,65,,,,,,22,21,22,,,,,,S,38,20,S,S,,26,S,S,S,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
03M256,59,,,,,,19,25,15,,,,,,S,8,10,S,36,S,9,S,S,S,S,,,,,,S,S,S,,,,,,,S,S,S,S,S,S,S,S,S
03M258,81,,,,,,27,27,27,,,,,,S,40,23,S,13,,27,6,S,8,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
03M291,218,,,,,,48,38,33,26,20,25,28,S,17,38,16,11,131,S,45,S,S,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M299,59,,,,,,,,,13,11,15,20,S,S,34,17,S,S,,14,6,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
03M307,105,,,,,,,,,20,25,39,21,S,S,66,27,S,S,S,19,S,S,9,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M333,222,30,33,34,31,38,19,18,19,,,,,S,23,30,21,18,128,S,45,S,S,S,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
03M334,357,51,48,49,48,35,52,43,31,,,,,,124,20,8,39,166,,38,,S,S,S,S,S,S,S,S,S,S,S,,,,,,,S,S,S,S,,S,,S,S
03M402,20,,,,,,,,,6,S,10,S,S,S,16,S,,S,S,8,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
03M403,16,,,,,,,,,S,8,S,S,S,S,10,S,S,S,S,S,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M404,27,,,,,,,,,,S,S,15,,,17,S,,S,,7,S,S,T,S,,,,,,,,,,S,S,S,,,S,S,,S,,S,S,S,S
03M415,150,,,,,,12,10,14,39,34,29,12,S,S,71,66,S,S,S,29,9,6,11,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M417,250,,,,,,,,S,69,80,S,50,S,16,84,21,S,109,T,43,S,S,T,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M421,110,,,,,,37,36,37,,,,,,S,55,46,S,S,,49,T,S,T,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
03M452,201,48,45,43,35,30,,,,,,,,S,25,40,23,T,99,S,39,S,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
03M479,586,,,,,,,,,149,156,139,142,S,71,113,60,24,276,42,107,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M485,509,,,,,,,,,116,112,171,110,S,84,74,22,38,254,37,19,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M492,152,,,,,,,,,56,45,30,21,S,7,109,28,S,S,S,17,12,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M494,124,,,,,,,,,46,31,24,23,S,8,76,30,S,6,S,22,15,S,11,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M505,44,,,,,,,,,S,16,17,S,S,S,25,S,S,,,26,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,,,S,S,S,S
03M541,145,,,,,,,,,47,39,44,15,S,34,40,16,S,38,9,29,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M859,170,T,T,T,T,T,7,T,T,26,27,18,16,S,32,24,13,22,71,S,24,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M860,89,,,,,,11,17,7,21,15,9,9,S,S,34,51,S,S,S,25,16,6,10,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
03M862,138,,,,,,62,37,39,,,,,S,7,44,21,S,57,S,22,S,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
04M007,102,10,12,17,12,16,12,8,15,,,,,S,S,68,29,S,S,,29,10,13,11,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M012,213,23,25,25,25,50,23,21,21,,,,,S,96,18,S,23,56,,12,7,S,S,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M037,100,23,18,20,19,20,,,,,,,,S,S,56,32,S,7,,27,S,S,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
04M038,64,12,T,12,T,12,,,,,,,,S,S,38,24,S,S,,22,9,9,9,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
04M057,324,28,36,44,46,46,47,36,41,,,,,S,T,252,54,S,S,,86,61,16,39,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M072,249,34,7,33,32,36,42,31,34,,,,,S,S,185,53,S,7,,77,18,10,29,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M083,149,31,22,29,27,40,,,,,,,,S,10,111,21,S,S,,39,13,10,9,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
04M096,170,23,16,T,21,20,20,18,T,,,,,S,S,116,41,S,6,,54,20,13,25,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M102,77,T,10,T,20,T,,,,,,,,S,S,40,29,S,S,S,29,13,S,9,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
04M108,160,14,20,19,T,14,26,T,23,,,,,S,S,96,51,S,S,S,50,9,T,11,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
04M112,72,30,42,,,,,,,,,,,S,S,45,13,S,9,,40,13,S,S,S,S,S,,,,,,,,,,,S,S,S,S,S,S,,S,S,S,S
04M146,150,21,31,35,27,36,,,,,,,,S,9,97,34,S,T,,65,28,11,20,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
04M155,91,16,20,23,13,19,,,,,,,,S,S,72,14,,,,28,33,S,14,S,S,S,S,S,S,,,,,,,,S,S,S,S,,,,S,S,S,S
04M171,341,39,42,39,32,39,61,42,47,,,,,S,50,194,73,S,18,,67,17,S,18,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M182,172,37,T,T,T,T,,,,,,,,,,164,S,S,S,,51,92,T,37,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
04M206,254,,,55,48,43,44,40,24,,,,,S,T,194,40,S,T,,104,47,11,18,S,,,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M224,85,,,,,,28,31,26,,,,,,S,46,17,S,18,,11,S,S,S,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
04M310,37,,,,,,,,,S,11,13,S,S,S,12,20,S,S,,8,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
04M372,248,,,,,,44,36,41,47,38,26,16,S,S,201,37,S,S,S,61,95,9,49,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
04M375,93,15,20,T,18,T,,,,,,,,T,S,45,36,S,S,,29,T,S,13,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
04M377,65,,,,,,25,21,19,,,,,S,S,28,32,S,S,,23,S,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
04M435,831,,,,,,,,,219,264,198,150,10,219,354,125,T,102,T,89,38,7,24,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
04M495,272,,,,,,,,,61,80,71,60,,24,165,66,S,T,S,69,T,S,T,S,,,,,,,,,S,S,S,S,,,S,S,S,S,S,S,S,S,S
04M497,82,T,T,19,T,T,,,,,,,,S,7,37,12,12,14,,T,S,S,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
04M555,156,,,,,,,,,20,46,42,48,S,26,75,33,S,18,S,29,S,S,8,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
04M610,116,,,,,,18,24,8,17,20,19,10,S,8,68,29,S,S,S,26,S,S,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
04M680,92,,,,,,,,,26,17,18,31,S,S,66,19,S,S,S,21,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
04M825,205,,,,,,69,75,61,,,,,S,T,152,38,S,S,S,50,21,T,25,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
04M964,266,26,T,26,T,T,42,41,29,,,,,S,12,T,82,T,27,,90,T,9,17,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
05M030,56,16,13,9,9,9,,,,,,,,S,S,29,23,S,S,,26,7,S,8,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
05M036,131,23,27,28,32,21,,,,,,,,S,S,77,49,S,S,,46,17,8,15,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
05M046,102,11,14,S,19,14,11,18,S,,,,,S,S,52,47,S,S,,36,9,S,8,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
05M092,122,21,25,20,T,T,,,,,,,,S,S,51,65,,S,,44,20,9,9,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
05M123,194,17,23,26,18,24,36,27,23,,,,,S,S,96,85,S,S,,63,35,35,39,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
05M125,105,25,25,17,22,16,,,,,,,,S,S,37,28,S,32,,31,S,S,7,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
05M129,139,T,28,T,T,T,,,28,,,,,S,S,76,58,S,S,,51,7,18,21,S,S,S,S,S,S,,,S,,,,,S,S,S,S,S,S,,S,S,S,S
05M133,119,T,T,T,T,T,,,,,,,,S,T,47,60,S,S,S,64,T,T,8,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
05M148,66,,,,,,S,S,9,19,9,9,8,S,S,11,50,S,S,,29,S,S,10,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
05M154,73,10,14,13,19,17,,,,,,,,S,S,30,36,S,S,,30,9,6,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
05M157,105,,,,,,,,,18,22,T,T,S,,55,48,,S,,33,13,6,T,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
05M161,291,19,13,28,37,25,64,47,58,,,,,S,S,224,50,S,T,,84,84,19,61,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
05M175,173,T,30,36,36,T,,,,,,,,S,7,69,85,S,10,,44,29,10,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
05M194,79,18,12,12,14,23,,,,,,,,,S,32,44,S,S,,28,12,8,10,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
05M197,123,T,22,16,T,32,,,,,,,,,S,48,67,S,S,,45,9,10,11,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
05M200,141,35,30,30,25,21,,,,,,,,8,S,38,91,S,S,,44,7,14,13,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
05M285,70,,,,,,,,,S,S,25,30,S,S,S,38,,S,,21,7,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
05M286,T,,,,,,T,T,T,,,,,,S,T,T,S,,,T,T,T,S,S,,,,,,S,S,S,,,,,,,S,S,S,,,S,S,S,S
05M304,33,,,,,,,,,11,9,7,6,,S,18,S,,S,S,8,6,S,S,S,,,,,,,,,S,S,S,S,,,S,S,,S,S,S,S,S,S
05M318,123,T,T,T,26,T,,,,,,,,,S,25,93,S,S,S,32,S,T,16,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
05M362,305,,,,,,52,52,58,42,37,39,25,S,25,82,39,16,130,S,47,S,S,9,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
05M369,159,,,,,,,,,46,32,32,49,S,S,78,75,S,S,S,43,10,S,12,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
05M371,80,,,,,,38,42,,,,,,S,S,34,42,,S,S,29,S,S,S,S,,,,,,S,S,,,,,,S,S,S,S,,S,S,S,S,S,S
05M499,262,,,,,,35,24,28,45,58,32,40,S,T,71,172,S,10,S,57,17,9,15,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
05M514,89,,,,,,T,T,T,,,,,S,S,T,T,,S,,T,S,T,T,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
05M517,185,24,T,12,21,19,T,34,16,,,,,S,T,72,71,T,23,,36,S,S,9,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
05M670,107,,,,,,9,21,25,24,18,S,S,S,S,30,71,S,S,S,36,S,S,10,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
05M692,302,,,,,,,,,104,79,69,50,S,81,43,19,T,107,32,21,,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,,S,S
06M004,204,37,40,55,30,42,,,,,,,,T,6,171,15,S,S,,51,59,S,31,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
06M005,252,42,52,53,47,58,,,,,,,,,S,235,14,S,S,S,81,104,16,22,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
06M008,245,T,T,40,64,65,,,,,,,,S,,234,7,,S,S,63,95,S,27,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,S,S,S,S,S
06M018,201,13,T,T,T,34,39,24,27,,,,,,S,193,T,S,S,,62,58,S,71,S,S,S,S,S,S,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
06M028,211,42,25,49,47,48,,,,,,,,,S,169,29,S,S,,59,95,8,37,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
06M048,200,T,T,46,34,46,,,,,,,,S,S,186,T,S,S,,59,83,S,36,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
06M052,67,,,,,,18,16,33,,,,,,S,64,S,,S,,20,30,S,14,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
06M098,150,36,28,31,27,28,,,,,,,,,S,145,S,S,S,S,22,62,S,26,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
06M103,301,67,56,58,T,T,,,,,,,,S,S,222,T,T,59,S,63,103,S,62,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
06M115,260,55,43,61,47,54,,,,,,,,S,S,247,S,S,S,S,78,89,T,39,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
06M128,281,60,59,40,56,66,,,,,,,,,S,267,S,S,8,,81,65,S,72,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
06M132,118,T,T,T,T,35,,,,,,,,,,111,S,,S,S,39,54,S,20,S,S,S,S,S,S,,,,,,,,,,S,S,,S,S,S,S,S,S
06M143,120,,,,,,43,39,38,,,,,,S,113,S,S,S,,30,81,S,23,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
06M152,292,55,T,56,T,60,,,,,,,,S,S,257,11,21,S,,71,98,S,91,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
06M153,252,44,41,T,T,46,,,,,,,,S,S,190,44,S,11,,51,87,T,59,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
06M173,218,T,T,40,43,38,,,,,,,,S,S,199,8,S,S,,47,52,S,12,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
06M178,170,34,35,36,31,34,,,,,,,,,S,135,T,S,24,S,48,15,S,20,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
06M187,400,51,53,58,53,62,47,42,34,,,,,S,18,162,18,25,174,S,71,8,S,20,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
06M189,322,T,56,63,66,T,,,,,,,,,S,299,9,,T,,71,91,T,19,S,S,S,S,S,S,,,,,,,,,,S,S,,S,,S,S,S,S
06M192,85,20,8,13,22,22,,,,,,,,S,S,73,S,,S,,24,29,S,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
06M209,279,,,,,,93,85,101,,,,,S,S,218,29,,T,S,62,58,T,T,S,,,,,,S,S,S,,,,,S,S,S,S,,S,S,S,S,S,S
06M210,237,T,26,18,41,28,T,21,18,,,,,S,S,230,S,,S,,45,109,S,S,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
06M211,159,,,,,,,,,50,31,43,35,S,S,144,9,S,S,S,36,23,S,19,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
06M223,152,,,,,,66,43,43,,,,,S,T,108,11,S,22,S,19,T,S,11,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
06M278,231,25,23,24,52,34,33,21,19,,,,,,T,174,7,S,40,,50,44,S,12,S,S,S,S,S,S,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
06M293,147,,,,,,39,27,26,34,11,S,S,,S,140,S,S,S,,24,14,S,18,S,,,,,,S,S,S,S,S,S,S,,,S,S,S,S,,S,S,S,S
06M311,83,9,12,7,9,23,8,7,8,,,,,,S,76,S,S,S,S,23,29,S,9,S,S,S,S,S,S,S,S,S,,,,,,,S,S,S,S,S,S,S,S,S
06M314,186,T,T,T,T,T,,,,,,,,S,T,77,T,15,81,,43,T,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
06M319,148,,,,,,52,31,65,,,,,,S,139,S,,S,,42,48,S,19,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
06M322,200,,,,,,74,69,57,,,,,,S,189,S,S,S,,38,75,S,39,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
06M324,193,,,,,,48,63,82,,,,,,S,174,13,,S,,42,67,S,17,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
06M328,T,,,,,,T,T,T,,,,,S,T,T,T,,T,,T,T,T,T,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
06M346,323,,,,,,54,43,46,53,38,42,47,,S,282,31,S,T,,74,58,6,35,S,,,,,,S,S,S,S,S,S,S,,,S,S,S,S,,S,S,S,S
06M348,563,26,30,T,17,T,69,65,58,78,93,51,12,S,T,524,9,S,23,S,135,121,7,45,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
06M349,60,,,,,,T,T,27,,,,,,,60,,,,,S,53,S,17,S,,,,,,S,S,S,,,,,,,S,,,,,S,S,S,S
06M366,217,24,32,37,22,40,24,16,22,,,,,,S,209,S,,S,S,54,26,S,16,S,S,S,S,S,S,S,S,S,,,,,,,S,S,,S,S,S,S,S,S
06M368,99,24,T,10,19,T,,,,,,,,,S,48,22,S,23,,30,11,9,12,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
06M423,97,,,,,,,,,19,33,18,27,,S,89,S,,S,,T,62,S,19,S,,,,,,,,,S,S,S,S,,,S,S,,S,,S,S,S,S
06M462,190,,,,,,,,,49,51,49,41,S,S,170,11,S,S,S,47,98,S,38,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
06M463,215,,,,,,,,,78,35,51,51,S,S,190,S,S,S,S,34,79,S,76,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
06M467,156,,,,,,,,,46,39,33,38,S,S,114,36,,S,S,33,40,S,18,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
06M468,68,,,,,,,,,27,26,S,S,S,S,58,6,S,S,S,12,30,S,11,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
06M513,122,T,T,T,T,T,,,,,,,,S,S,91,S,T,21,,46,40,,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,,S
06M528,135,,,,,,51,44,40,,,,,,,132,S,,S,S,39,35,S,12,S,,,,,,S,S,S,,,,,,,S,S,,S,S,S,S,S,S
06M540,276,,,,,,,,,124,54,58,40,S,17,155,85,S,10,S,30,23,6,28,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
06M552,454,,,,,,,,,116,111,113,114,,,454,,,,,T,376,T,162,S,,,,,,,,,S,S,S,S,,,S,,,,,S,S,S,S
07X001,182,34,21,41,52,34,,,,,,,,S,S,136,42,S,S,,44,37,11,16,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
07X005,136,17,24,15,16,19,19,13,13,,,,,S,S,106,S,S,S,,44,36,8,11,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
07X018,151,32,29,31,30,29,,,,,,,,S,S,103,35,S,10,,42,42,S,14,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
07X025,242,53,51,43,46,49,,,,,,,,S,S,220,17,S,S,,90,79,13,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
07X029,248,39,37,46,33,27,28,19,19,,,,,S,S,157,81,S,S,,58,39,12,15,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
07X030,122,16,31,14,26,35,,,,,,,,S,S,103,15,,S,S,34,37,20,12,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,S,S,S,S,S
07X031,337,29,41,28,45,33,48,60,53,,,,,S,T,222,94,S,11,S,85,59,16,53,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
07X043,145,21,31,29,32,32,,,,,,,,S,S,107,33,S,S,,40,32,10,14,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
